"License Number","Business Name","DBA/Trade Name","Business Unique ID","Business Category","License Type","License Status","Initial Issuance Date","Expiration Date","Details","Contact Phone","Address Type","Building Number","Street1","Street2","Street3","Unit Type","Apt/Suite","City","State","ZIP Code","Borough","Community Board","Council District","BIN","BBL","NTA","Census Block (2010)","Census Tract (2010)","Latitude","Longitude"
"2051272-2-DCA","MACOMBS 1 DELI GROCERY INC",,"BA-1411239-2022","Tobacco Retail Dealer","Premises","Revoked","04/17/2017","12/31/2024",,"212-491-5011","Complete Address","67","MACOMBS PLACE",,,,,"NEW YORK","NY","10039","Manhattan","110","9","1060610","1020380009","MN03","1002","236","40.82695","-73.937218"
"2121661-DCWP","D&N GENERAL CONSTRUCTION LLC",,"BA-1684382-2024","Home Improvement Contractor","Premises","Expired","05/22/2024","02/28/2025",,,"Complete Address","14712","71ST RD",,,,,"FLUSHING","NY","11367","Queens","408","24","4455295","4066780001","QN37","2009","77906","40.72810","-73.819511"
"2083608-DCA","Richemont North America Inc.","Van Cleef & Arpels","BA-1562785-2022","Secondhand Dealer - General","Premises","Active","07/24/2023","07/31/2027",,"2039256427","Complete Address","20","HUDSON YARDS",,,"UNIT","131B","NEW YORK","NY","10001","Manhattan","104","3","1088961","1007027501","MN13","1015","99","40.75304","-74.000282"
"2122608-DCWP","A 602 FOOD CORP.","Dan’s supermarket","BA-1605280-2023","Stoop Line Stand","Premises","Active","07/02/2024","03/31/2026","Product Category: Fruits, vegetables, soft drinks; 4 foot stands: 3; 5 foot stands: 0; 5-10 foot stands: 0","2129235753","Complete Address","602","W 185TH ST",,,,,"NEW YORK","NY","10033","Manhattan","112","10","1063962","1021660016","MN35","1002","271","40.85179","-73.932228"
"2107250-DCA","IKTINOS ART DESIGNS LLC",,"BA-1330873-2022","Home Improvement Contractor","Premises","Active","07/05/2022","02/28/2027",,"9292618637","Complete Address","2509","34TH ST",,,"APT","2R","ASTORIA","NY","11103","Queens","401","22","4009360","4006320029","QN70","3000","6501","40.76928","-73.916121"
"2031407-2-DCA","KINGS CAFE NEWS INC","KINGS CAFE NEWS INC","BA-1351731-2022","Tobacco Retail Dealer","Premises","Active","12/15/2015","12/31/2026",,"7189517166","Complete Address","1508","AVENUE J",,,,,"BROOKLYN","NY","11230","Brooklyn","314","44","3180001","3067170004","BK43","2005","532","40.62521","-73.961051"
"2042860-DCA","WOC PACIFIC GARAGE COMPANY, LLC",,"BA-1564474-2022","Garage & Parking Lot","Premises","Surrendered","08/25/2016","03/31/2023","Vehicle Capacity: 85; Bicycle Capacity: 9","5165655600","Complete Address","670","PACIFIC STREET",,,,,"BROOKLYN","NY","11217","Brooklyn","308","35","3425668","3011280009","BK64","1001","161","40.68212","-73.973262"
"2124390-DCWP","Patrick Vardaro",,"BA-1709484-2024","Sightseeing Guide","Individual","Active","09/20/2024","03/31/2026",,,,,,,,,,"NEW YORK","NY","10011",,,,,,,,,,
"2123114-DCWP","FIVE STAR DELI FOOD MARKET CORP.",,"BA-1682399-2024","Stoop Line Stand","Premises","Active","07/29/2024","03/31/2026","Product Category: Fruits, Vegetables, Flowers, Soft Drinks, Confectionary and Ice Cream; 4 foot stands: 1; 5 foot stands: 0; 5-10 foot stands: 0",,"Complete Address","110","NOSTRAND AVE",,,,,"BROOKLYN","NY","11205","Brooklyn","303","33","3048483","3017370017","BK75","3007","1237","40.69662","-73.952823"
"0872159-DCA","LLOYD A KING",,"BA-1320538-2022","Locksmith","Individual","Expired","05/14/2003","05/31/2023",,,,,,,,,,"BROOKLYN","NY","11213",,,,,,,,,,
"2070196-DCA","King Studz Construction, LLC",,"BA-1322112-2022","Home Improvement Contractor","Premises","Surrendered","04/30/2018","02/28/2025",,"3477535064","Complete Address","720","ALABAMA AVE",,,,,"BROOKLYN","NY","11207","Brooklyn","305","42","3097199","3043190012","BK82","1001","1104","40.65853","-73.893852"
"1004887-DCA","UNITED COLLECTION BUREAU, INC.",,"BA-1540900-2022","Debt Collection Agency","Premises","Active","03/17/1999","01/31/2027",,"419-866-6227","Complete Address","5620","SOUTHWYCK BLVD",,,,,"TOLEDO","OH","43614",,,,,,,,,,
"2121509-DCWP","ALL AMERICA APPLIANCE SERVICE LLC",,"BA-1695489-2024","Electronic & Home Appliance Service Dealer","Premises","Active","05/20/2024","06/30/2026",,"(929) 670-9595","Complete Address","8893","19TH AVE",,,,,"BROOKLYN","NY","11214","Brooklyn","311","47","3169881","3064650072","BK27","1000","282","40.60025","-74.006352"
"2114873-DCA","ALAEDDINE EDDAGDOUGUI",,"BA-1599400-2023","Pedicab Driver","Individual","Expired","07/06/2023","04/30/2024",,,,,,,,,,"BROOKLYN","NY","11214",,,,,,,,,,
"2100162-DCA","MHAMED KHOUIDMI",,"BA-1599598-2023","Pedicab Driver","Individual","Expired","07/15/2021","04/30/2024",,,,,,,,,,"NEW YORK","NY","10036",,,,,,,,,,
"2114828-DCA","ILYAS BEKTAS",,"BA-1599600-2023","Pedicab Driver","Individual","Expired","07/03/2023","04/30/2024",,,,,,,,,,"STATEN ISLAND","NY","10304",,,,,,,,,,
"2065534-DCA","BEACON'S CLOSET JR., INC.","BEACON'S CLOSET","BA-1122183-2022","Secondhand Dealer - General","Premises","Active","01/31/2018","07/31/2027",,"718-230-1630","Complete Address","92","5TH AVE",,,,,"BROOKLYN","NY","11217","Brooklyn","306","39","3018817","3009370038","BK37","3000","12901","40.68014","-73.977950"
"1001276-DCA","ZADA, SHAHI",,"BA-1582461-2023","Home Improvement Contractor","Premises","Active","12/23/1998","02/28/2027",,"7183824751","Complete Address","1001","DORCHESTER RD",,,,,"BROOKLYN","NY","11218","Brooklyn","314","39","3118581","3051530040","BK42","1002","526","40.63735","-73.968127"
"2101568-DCA","ROBERT MALEK",,"BA-1537759-2022","Process Server Individual","Individual","Expired","09/17/2021","02/28/2024",,,,,,,,,,"EAST MEADOW","NY","11554",,,,,,,,,,
"2124986-DCWP","Care First Pharmacy Group Inc","Care First Pharmacy Group Inc","BA-1254696-2022","Stoop Line Stand","Premises","Active","10/28/2024","03/31/2026","Product Category: Fruits, Vegetables, Flowers, Soft Drinks, Confectionary and Ice Cream; 4 foot stands: 0; 5 foot stands: 2; 5-10 foot stands: 0","7184842200","Complete Address","2690","UNIVERSITY AVE",,,,,"BRONX","NY","10468","Bronx","208","14","2015249","2032480006","BX28","3000","26701","40.86840","-73.900958"
"2065065-DCA","JOSHUA'S CAR WASH LLC",,"BA-1314389-2022","Car Wash","Premises","Ready for Renewal","01/18/2018","10/31/2025",,"7182576767","Complete Address","8610","FLATLANDS AVENUE",,,,,"BROOKLYN","NY","11236","Brooklyn","318","46","3225179","3080230039","BK50","2001","956","40.63845","-73.908718"
"2114740-DCA","MEDI CASA INC",,"BA-1599791-2023","Dealer In Products For The Disabled","Premises","Surrendered","06/29/2023","03/15/2025",,,"Complete Address","14412","GRAND CENTRAL PKWY",,,,,"JAMAICA","NY","11435","Queens","408","24","4143657","4066390036","QN35","1003","22002","40.71564","-73.815642"
"2114711-DCA","DALERJON GUFRON-ZODA",,"BA-1599706-2023","Pedicab Driver","Individual","Expired","06/28/2023","04/30/2024",,,,,,,,,,"BROOKLYN","NY","11228",,,,,,,,,,
"2111690-DCA","CITY PHARMACY, INC.","City Pharmacy","BA-1582750-2023","Dealer In Products For The Disabled","Premises","Active","03/17/2023","03/15/2027",,"7188889483","Complete Address","13358","41ST RD",,,,,"FLUSHING","NY","11355","Queens","407","20","4312192","4050420035","QN22","2000","849","40.75706","-73.830092"
"2114827-DCA","ENES KAYIS",,"BA-1599597-2023","Pedicab Driver","Individual","Expired","07/03/2023","04/30/2024",,,,,,,,,,"STATEN ISLAND","NY","10304",,,,,,,,,,
"2114829-DCA","ISMOIL HAKIMI",,"BA-1599614-2023","Pedicab Driver","Individual","Expired","07/03/2023","04/30/2024",,,,,,,,,,"BROOKLYN","NY","11235",,,,,,,,,,
"2115181-DCA","Solange Rodrigues",,"BA-1599749-2023","Sightseeing Guide","Individual","Active","07/19/2023","03/31/2026",,,,,,,,,,"BROOKLYN","NY","11233",,,,,,,,,,
"2042115-DCA","ACCOUNT CONTROL SYSTEMS, INC.",,"BA-1577116-2023","Debt Collection Agency","Premises","Expired","08/08/2016","01/31/2025",,,"Complete Address","155","CHESTNUT RIDGE RD",,,"STE","LL108","MONTVALE","NJ","07645",,,,,,,,,,
"2038681-1-DCA","MAYPOLE NYC CORP","MAYPOLE NYC CORP","BA-1428176-2022","Tobacco Retail Dealer","Premises","Suspended","06/06/2016","12/31/2025",,"6465787268","Complete Address","17945","HILLSIDE AVE",,,,,"JAMAICA","NY","11432","Queens","408","24","4212921","4099370042","QN06","2001","466","40.71280","-73.783221"
"1294218-DCA","CARY GIBBS",,"BA-1226301-2022","Sightseeing Guide","Individual","Active","07/31/2008","03/31/2026",,,,,,,,,,"NEW YORK","NY","10022",,,,,,,,,,
"2115792-DCWP","SIERA ANTMANN",,"BA-1599431-2023","Sightseeing Guide","Individual","Active","08/15/2023","03/31/2026",,,,,,,,,,"NEW YORK","NY","10029",,,,,,,,,,
"1278809-DCA","KOSNAD, INC.",,"BA-1308170-2022","Home Improvement Contractor","Premises","Active","03/07/2008","02/28/2027",,"3472107680","Complete Address","2214","64 STREET",,,,,"BROOKLYN","NY","11204","Brooklyn","311","43","3172234","3065530012","BK29","2000","436","40.61410","-73.980255"
"2115599-DCWP","FERNANDO FLORES SOLIS",,"BA-1599519-2023","Sightseeing Guide","Individual","Expired","08/07/2023","03/31/2024",,,,,,,,,,"NEW YORK","NY","10023",,,,,,,,,,
"2115790-DCWP","Emily Anne Freeny",,"BA-1599866-2023","Sightseeing Guide","Individual","Active","08/15/2023","03/31/2026",,,,,,,,,,"NEW YORK","NY","10022",,,,,,,,,,
"2116607-DCWP","MARCELLO BERMEO",,"BA-1599816-2023","Sightseeing Guide","Individual","Active","09/18/2023","03/31/2026",,,,,,,,,,"JACKSON HEIGHTS","NY","11372",,,,,,,,,,
"2100807-2-DCA","EAT FRESH DELI GROCERY CORP",,"BA-1199220-2022","Electronic Cigarette Dealer","Premises","Active","08/13/2021","11/30/2026",,"7183950348","Complete Address","1724","CHURCH AVE",,,,,"BROOKLYN","NY","11226","Brooklyn","314","40","3117080","3050970089","BK42","1000","512","40.64938","-73.963206"
"2114811-DCA","YELNAR AZIMBAY",,"BA-1599794-2023","Pedicab Driver","Individual","Expired","07/03/2023","04/30/2024",,,,,,,,,,"BROOKLYN","NY","11223",,,,,,,,,,
"2065589-DCA","SANBA BICYCLE SHOP INC",,"BA-1573941-2023","Secondhand Dealer - General","Premises","Active","02/01/2018","07/31/2027",,"929-369-9065","Complete Address","3912","5TH AVE",,,,,"BROOKLYN","NY","11232","Brooklyn","307","38","3010540","3007090040","BK32","2002","84","40.65114","-74.004051"
"1297149-DCA","HECTOR MALDONADO",,"BA-1296966-2022","Tow Truck Driver","Individual","Active","08/26/2008","10/31/2026",,,,,,,,,,"NEW YORK","NY","10001",,,,,,,,,,
"2123408-DCWP","Rachel Herman",,"BA-1704392-2024","Sightseeing Guide","Individual","Voided","08/08/2024","03/31/2026",,,,,,,,,,"JAMAICA","NY","11435",,,,,,,,,,
"2091379-2-DCA","BHAKTI 55 INC.","STOP & GO CONVENIENCE & SMOKE SHOP","BA-1127225-2022","Electronic Cigarette Dealer","Premises","Active","10/11/2019","11/30/2026",,"718-898-0044","Complete Address","5547","69TH ST",,,,,"MASPETH","NY","11378","Queens","405","30","4058513","4025000006","QN30","1005","49302","40.72730","-73.895446"
"2056907-DCA","WIRELESS SOLUTIONS OF NY INC","WIRELESSONE","BA-1561050-2022","Electronic & Home Appliance Service Dealer","Premises","Expired","08/10/2017","06/30/2024",,"9177151100","Complete Address","750","7 AVENUE",,,,,"NEW YORK","NY","10019","Manhattan","105","3","1024795","1010210026","MN17","1001","125","40.76075","-73.983525"
"1408549-DCA","JIMMY L. WILSON",,"BA-1311379-2022","General Vendor","Individual","Active","09/21/2011","09/30/2027","Vendor Type: Citywide Specialized Vendor (Yellow)",,,,,,,,,"BROOKLYN","NY","11201",,,,,,,,,,
"2098414-DCA","HSB CONSTRUCTION LLC",,"BA-1369425-2022","Home Improvement Contractor","Premises","Active","04/21/2021","02/28/2027",,"347-344-3490","Complete Address","1326","EAST   46 STREET",,,,,"BROOKLYN","NY","11234","Brooklyn","318","45","3215334","3077710071","BK58","2000","732","40.62874","-73.931839"
"2127062-DCWP","Afari Evans",,"BA-1718929-2025","Locksmith","Individual","Active","03/07/2025","05/31/2027",,,,,,,,,,"FRESH MEADOWS","NY","11365",,,,,,,,,,
"2116787-DCWP","ORVILLE RICHARDSON",,"BA-1664804-2023","General Vendor","Individual","Active","09/25/2023","09/30/2027","Vendor Type: Citywide Specialized Vendor (Yellow)",,,,,,,,,"BROOKLYN","NY","11212",,,,,,,,,,
"2114894-DCA","TARIK KILDIRIC",,"BA-1599497-2023","Pedicab Driver","Individual","Expired","07/06/2023","04/30/2024",,,,,,,,,,"BROOKLYN","NY","11220",,,,,,,,,,
"2114897-DCA","NASYROV ABDULLO",,"BA-1599501-2023","Pedicab Driver","Individual","Expired","07/06/2023","04/30/2024",,,,,,,,,,"BROOKLYN","NY","11235",,,,,,,,,,
"2044030-DCA","DIAKITE, FODE",,"BA-1599813-2023","Pedicab Driver","Individual","Expired","09/22/2016","04/30/2024",,"9177439709","Complete Address","322","W 52ND ST",,,"#","719","NEW YORK","NY","10019",,,,,,,,,,
"2115106-DCA","JULIEN MORALES",,"BA-1599832-2023","Sightseeing Guide","Individual","Active","07/17/2023","03/31/2026",,,,,,,,,,"BROOKLYN","NY","11233",,,,,,,,,,
"2116605-DCWP","CHRISTOPHE GUERMEUR",,"BA-1599835-2023","Sightseeing Guide","Individual","Active","09/18/2023","03/31/2026",,,,,,,,,,"BROOKLYN","NY","11238",,,,,,,,,,
"1393315-DCA","CENTRAL OUTDOOR SERVICES, INC.",,"BA-1216298-2022","Home Improvement Contractor","Premises","Active","05/23/2011","02/28/2027",,"6314744440","Complete Address","4","JOLINE RD",,,,,"PORT JEFFERSON STATION","NY","11776","Outside NYC",,,,,,,,,
"2115994-DCWP","Alec Jason Mori",,"BA-1599398-2023","Sightseeing Guide","Individual","Active","08/22/2023","03/31/2026",,,,,,,,,,"NEW YORK","NY","10014",,,,,,,,,,
"2110590-DCA","BROTHER K INC",,"BA-1587433-2023","Home Improvement Contractor","Premises","Active","01/11/2023","02/28/2027",,"9175674934","Complete Address","226","E 32ND ST",,,"APT","2","NEW YORK","NY","10016","Manhattan","106","2","1020065","1009120051","MN20","2000","70","40.74404","-73.978120"
"2115166-DCA","AMRIDIN OBIDOV",,"BA-1599476-2023","Pedicab Driver","Individual","Expired","07/18/2023","04/30/2024",,,,,,,,,,"BROOKLYN","NY","11229",,,,,,,,,,
"0813075-DCA","PORCELAIN INDUSTRIES INC",,"BA-1426504-2022","Home Improvement Contractor","Premises","Active","02/12/2003","02/28/2027",,"6316614023","Complete Address","216","CEDAR AVE",,,,,"ISLIP","NY","11751","Manhattan",,,,,,,,,
"2115803-DCWP","ERIC MATHERN",,"BA-1599489-2023","Sightseeing Guide","Individual","Active","08/15/2023","03/31/2026",,,,,,,,,,"NEW YORK","NY","10016",,,,,,,,,,
"2114896-DCA","MAKHMUD NASRULLOEV",,"BA-1599491-2023","Pedicab Driver","Individual","Expired","07/06/2023","04/30/2024",,,,,,,,,,"BROOKLYN","NY","11214",,,,,,,,,,
"2114845-DCA","DUKE JOHNSON FLORES",,"BA-1599740-2023","Pedicab Driver","Individual","Expired","07/05/2023","04/30/2024",,,,,,,,,,"NEW YORK","NY","10023",,,,,,,,,,
"2120909-DCWP","Parviz SODIKOV",,"BA-1692585-2024","Pedicab Driver","Individual","Active","04/30/2024","04/30/2026",,,,,,,,,,"Brooklyn","NY","11219",,,,,,,,,,
"2128927-DCWP","The Rabbits' Plant Store Corp.",,"BA-1728149-2025","Stoop Line Stand","Premises","Active","05/27/2025","03/31/2026","Product Category: Fruits, Vegetables, Soft Drinks PLUS any of these additional types of products: Flowers, Confectionery, Ice Cream or Ices; 4 foot stands: 0; 5 foot stands: 2; 5-10 foot stands: 0",,"Complete Address","382","MYRTLE AVE",,,,,"BROOKLYN","NY","11205","Brooklyn","302","35","3058393","3020750022","BK68","1000","183","40.69316","-73.970704"
"2130899-DCWP","Ramadan Mohamed",,"BA-1744303-2025","Pedicab Driver","Individual","Active","09/02/2025","04/30/2026",,,,,,,,,,"JERSEY CITY","NJ","07307",,,,,,,,,,
"2125472-DCWP","UNITED GOLDEN EAGLES LLC","THE FIX STORE","BA-1713520-2024","Electronic & Home Appliance Service Dealer","Premises","Active","11/25/2024","06/30/2026",,"9178543336","Complete Address","5100","KINGS PLAZA",,,"STE","2213","Brooklyn","NY","11234","Brooklyn","318","46","3326830","3084700055","BK45","2005","698","40.61006","-73.922094"
"2111831-DCA","RESPIRATORY NY INC.","RESPNYC","BA-1584267-2023","Dealer In Products For The Disabled","Premises","Active","03/23/2023","03/15/2027",,"3475881567","Complete Address","214","E 70TH ST",,,"APT","1F","NEW YORK","NY","100215425",,,,,,,,,,
"2124856-DCWP","ANSORI SATTORZODA",,"BA-1708480-2024","Pedicab Driver","Individual","Active","10/18/2024","04/30/2026",,,,,,,,,,"Madison","NY","11229",,,,,,,,,,
"2110493-DCA","SHUKHRAT KHAKNAZAROV",,"BA-1575829-2023","Pedicab Driver","Individual","Expired","01/04/2023","04/30/2024",,,,,,,,,,"BROOKLYN","NY","11235",,,,,,,,,,
"2073318-1-DCA","ZAHEER, SAJJAD",,"BA-1529304-2022","Electronic Cigarette Dealer","Premises","Surrendered","06/13/2018","11/30/2023",,"646-906-5855","Cross Street (Intersection)",,"AMSTERDAM AVENUE",,,,,"NEW YORK","NY","10024","Manhattan","107","6",,,,,"165","40.78315","-73.978327"
"2097869-DCA","G&M WIRELESS INC.",,"BA-1195520-2022","Electronics Store","Premises","Surrendered","02/27/2021","12/31/2026",,"(908) 351-5837","Complete Address","2","BELMONT AVENUE",,,,,"BROOKLYN","NY","11212","Brooklyn","316","41","3326641","3035260015","BK81","2004","906","40.66843","-73.910271"
"2114877-DCA","USMAN TARIQ",,"BA-1599365-2023","Pedicab Driver","Individual","Expired","07/06/2023","04/30/2024",,,,,,,,,,"FLUSHING","NY","11355",,,,,,,,,,
"2087743-DCA","LITTLE NECK CAR WASH INC.",,"BA-1129317-2022","Car Wash","Premises","Ready for Renewal","06/28/2019","10/31/2025",,"7182810780","Complete Address","23204","NORTHERN BLVD",,,,,"LITTLE NECK","NY","11362","Queens","411","19","4315243","4081650023","QN45","3001","150701","40.76387","-73.749645"
"1129819-DCA","ALL IN ONE SERVICES INTERNATONAL, INC.",,"BA-1088717-2022","Employment Agency","Premises","Active","04/13/2006","05/01/2026",,"7182675090","Complete Address","2540","27TH ST",,,"STE","2F","ASTORIA","NY","11102","Queens","401","22","4018553","4008610076","QN71","3000","69","40.77136","-73.920956"
"2113840-DCA","BERDYEV, SOBIR",,"BA-1715911-2024","Pedicab Business","Premises","Expired","05/30/2023","11/01/2024",,,"Complete Address","1039","E 14TH ST",,,"APT","3","BROOKLYN","NY","11230","Brooklyn","314","44","3427122","3067160072","BK43","1000","534","40.62407","-73.962118"
"2117044-DCWP","RAYS CONCEPT LLC",,"BA-1670875-2023","Home Improvement Contractor","Premises","Active","10/05/2023","02/28/2027",,"8455321520","Complete Address","1078","Rogers Ave",,,"FL","02","Brooklyn","NY","11226","Brooklyn","317","40","3119115","3051700028","BK95","2000","792","40.64370","-73.951732"
"2097525-DCA","A TO Z SUPPLY SERVICES INC",,"BA-1106627-2022","Dealer In Products For The Disabled","Premises","Expired","01/15/2021","03/15/2023",,"6462262872","Complete Address","58","DREYER AVE",,,,,"STATEN ISLAND","NY","10314","Staten Island","502","50","5119653","5020877501","SI05","1003","27301","40.60754","-74.150836"
"2123792-DCWP","M-TECH ACCESSORIES CORP",,"BA-1706603-2024","Electronics Store","Premises","Active","08/23/2024","12/31/2026",,,"Complete Address","9509","ROOSEVELT AVE",,,,,"JACKSON HEIGHTS","NY","11372","Queens","403","21","4036627","4014830053","QN28","4001","273","40.74895","-73.871498"
"2085396-2-DCA","SHREEKRUSHNASHARAN CORP.","VARICK ICONIC NEWS","BA-1540992-2022","Tobacco Retail Dealer","Premises","Active","05/02/2019","12/31/2026",,"6462519819","Complete Address","206","VARICK STREET",,,,,"NEW YORK","NY","10014","Manhattan","102","3","1008387","1005280021","MN23","2003","67","40.72864","-74.005300"
"2124101-DCWP","Abdulkadir Kara",,"BA-1707871-2024","Pedicab Driver","Individual","Expired","09/04/2024","04/30/2025",,,,,,,,,,"WEST NEW YORK","NJ","07093",,,,,,,,,,
"2098496-DCA","SP Plus Corporation",,"BA-1518544-2022","Garage & Parking Lot","Premises","Voided","04/29/2021","03/31/2025","Vehicle Capacity: 205; Bicycle Capacity: 20","2123217542","Complete Address","3040","WHITESTONE EXPRESSWAY",,,,,"FLUSHING","NY","11354","Queens","407","19",,,"QN23","1011","907","40.77086","-73.834956"
"2129720-DCWP","John Verhoff",,"BA-1732119-2025","Sightseeing Guide","Individual","Active","07/01/2025","03/31/2026",,,,,,,,,,"MAPLEWOOD","NJ","07040",,,,,,,,,,
"1388450-DCA","JULIET GUMBS",,"BA-1312029-2022","Sightseeing Guide","Individual","Active","04/19/2011","03/31/2026",,,,,,,,,,"NEW YORK","NY","10025",,,,,,,,,,
"1314515-DCA","SORBONNE CONSTRUCTION LLC",,"BA-1503500-2022","Home Improvement Contractor","Premises","Active","04/16/2009","02/28/2027",,"9176582047","Complete Address","3533","83RD ST",,,"APT","D6","JACKSON HTS","NY","11372","Queens","403","25","4035830","4014570056","QN28","4000","281","40.75154","-73.883678"
"2034431-DCA","BRILLIANT BUSINESS COMPUTER INC","JOYOPOS","BA-1077431-2022","Electronics Store","Premises","Active","03/15/2016","12/31/2026",,"7183213888","Complete Address","4449","COLLEGE POINT BLVD",,,,,"FLUSHING","NY","11355","Queens","407","20","4115114","4051040001","QN22","1000","79702","40.75290","-73.832557"
"2115209-DCA","WILLIAM NEUBAUER",,"BA-1601362-2023","Sightseeing Guide","Individual","Expired","07/19/2023","03/31/2024",,,,,,,,,,"LINCOLN","NE","68507",,,,,,,,,,
"2099149-DCA","BROOK PARK PARKING CORP",,"BA-1104518-2022","Garage & Parking Lot","Premises","Expired","06/04/2021","03/31/2025","Vehicle Capacity: 116; Bicycle Capacity: 12","9174705093","Complete Address","600","BERGEN AVENUE",,,,,"BRONX","NY","10455","Bronx","201","17","2127129","2023617501","BX34","2010","71","40.81675","-73.915298"
"2119535-DCWP","CONSTAR LATAM, LLC",,"BA-1687777-2024","Debt Collection Agency","Premises","Active","03/06/2024","01/31/2027",,"(602) 559-9300","Complete Address","10400","N 25TH AVE",,,"STE","100","PHOENIX","AZ","85021",,,,,,,,,"33.58140","-112.113897"
"2130748-DCWP","Brandon Perez Angarita",,"BA-1743902-2025","Locksmith","Individual","Active","08/25/2025","05/31/2027",,,,,,,,,,"CORONA","NY","11368",,,,,,,,,,
"2126840-DCWP","Tayon Goring",,"BA-1721721-2025","Tow Truck Driver","Individual","Voided","02/21/2025","10/31/2026",,,,,,,,,,"JAMAICA","NY","11434",,,,,,,,,,
"2096350-DCA","MAC & PC WIRELESS SOLUTIONS INC.","MacPcStore Williamsburg","BA-1416055-2022","Electronics Store","Premises","Expired","09/04/2020","12/31/2022",,"7188028172","Complete Address","648","GRAND STREET",,,"FRNT","STORE4","BROOKLYN","NY","11211","Brooklyn","301","34","3323049","3027870017","BK90","2000","503","40.71140","-73.946392"
"2050671-DCA","ORR BARR EL LLC","BARASHI LLC","BA-1436205-2022","Home Improvement Contractor","Premises","Expired","04/05/2017","02/28/2023",,"9177156341","Complete Address","418","CENTRAL PARK WEST",,,,,"NEW YORK","NY","10025","Manhattan","107","7","1055310","1018377501","MN12","2001","189","40.79535","-73.962013"
"2073088-1-DCA","IN & OUT TOBACCO DELI CORP",,"BA-1311028-2022","Electronic Cigarette Dealer","Premises","Active","06/11/2018","11/30/2027",,"917-702-1058","Complete Address","1020","AVENUE OF THE AMERICAS",,,,,"NEW YORK","NY","10018","Manhattan","105","4","1015987","1008400001","MN17","2001","84","40.75240","-73.985866"
"2095551-DCA","WALL 2 WALL NYC CONTRACTING CORP",,"BA-1557441-2022","Home Improvement Contractor","Premises","Expired","03/25/2020","02/28/2023",,"718-986-3576","Complete Address","145","FOREST ST",,,,,"STATEN ISLAND","NY","10314","Staten Island","502","50","5036310","5021480022","SI05","2000","29103","40.60558","-74.167603"
