Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
11,527163010,60,Rl,75.0,10000,Pave,Nan,Ir1,Lvl,Allpub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,Compshg,Hdboard,Hdboard,Nan,0.0,Ta,Ta,Pconc,Gd,Ta,No,Unf,0.0,Unf,0.0,763.0,763.0,Gasa,Gd,Yes,Sbrkr,763,892,0,1655,0.0,0.0,2,1,3,1,Ta,7,Typ,1,Ta,Attchd,1993.0,Fin,2.0,440.0,Ta,Ta,Yes,157,84,0,0,0,0,Nan,Nan,Nan,0,4,2010,Wd,Normal,175900
12,527165230,20,Rl,,7980,Pave,Nan,Ir1,Lvl,Allpub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,Compshg,Hdboard,Hdboard,Nan,0.0,Ta,Gd,Pconc,Gd,Ta,No,Alq,935.0,Unf,0.0,233.0,1168.0,Gasa,Ex,Yes,Sbrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,Ta,6,Typ,0,Nan,Attchd,1992.0,Fin,2.0,420.0,Ta,Ta,Yes,483,21,0,0,0,0,Nan,Gdprv,Shed,500,3,2010,Wd,Normal,185000
13,527166040,60,Rl,63.0,8402,Pave,Nan,Ir1,Lvl,Allpub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,Compshg,Vinylsd,Vinylsd,Nan,0.0,Ta,Ta,Pconc,Gd,Ta,No,Unf,0.0,Unf,0.0,789.0,789.0,Gasa,Gd,Yes,Sbrkr,789,676,0,1465,0.0,0.0,2,1,3,1,Ta,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,393.0,Ta,Ta,Yes,0,75,0,0,0,0,Nan,Nan,Nan,0,5,2010,Wd,Normal,180400
14,527180040,20,Rl,85.0,10176,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,Compshg,Hdboard,Hdboard,Nan,0.0,Ta,Ta,Pconc,Gd,Ta,Gd,Glq,637.0,Unf,0.0,663.0,1300.0,Gasa,Gd,Yes,Sbrkr,1341,0,0,1341,1.0,0.0,1,1,2,1,Gd,5,Typ,1,Po,Attchd,1990.0,Unf,2.0,506.0,Ta,Ta,Yes,192,0,0,0,0,0,Nan,Nan,Nan,0,2,2010,Wd,Normal,171500
15,527182190,120,Rl,,6820,Pave,Nan,Ir1,Lvl,Allpub,Corner,Gtl,Stonebr,Norm,Norm,Twnhse,1Story,8,5,1985,1985,Gable,Compshg,Hdboard,Hdboard,Nan,0.0,Gd,Ta,Pconc,Gd,Ta,Av,Glq,368.0,Blq,1120.0,0.0,1488.0,Gasa,Ta,Yes,Sbrkr,1502,0,0,1502,1.0,0.0,1,1,1,1,Gd,4,Typ,0,Nan,Attchd,1985.0,Rfn,2.0,528.0,Ta,Ta,Yes,0,54,0,0,140,0,Nan,Nan,Nan,0,6,2010,Wd,Normal,212000
16,527216070,60,Rl,47.0,53504,Pave,Nan,Ir2,Hls,Allpub,Culdsac,Mod,Stonebr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,Compshg,Cemntbd,Wd Shng,Brkface,603.0,Ex,Ta,Pconc,Gd,Ta,Gd,Alq,1416.0,Unf,0.0,234.0,1650.0,Gasa,Ex,Yes,Sbrkr,1690,1589,0,3279,1.0,0.0,3,1,4,1,Ex,12,Mod,1,Gd,Builtin,2003.0,Fin,3.0,841.0,Ta,Ta,Yes,503,36,0,0,210,0,Nan,Nan,Nan,0,6,2010,Wd,Normal,538000
17,527225035,50,Rl,152.0,12134,Pave,Nan,Ir1,Bnk,Allpub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,Compshg,Wd Sdng,Wd Sdng,Nan,0.0,Gd,Ta,Wood,Gd,Ta,Av,Glq,427.0,Unf,0.0,132.0,559.0,Gasa,Gd,Yes,Sbrkr,1080,672,0,1752,0.0,0.0,2,0,4,1,Ta,8,Typ,0,Nan,Basment,1988.0,Rfn,2.0,492.0,Ta,Ta,Yes,325,12,0,0,0,0,Nan,Nan,Nan,0,6,2010,Wd,Normal,164000
18,527258010,20,Rl,88.0,11394,Pave,Nan,Reg,Lvl,Allpub,Corner,Gtl,Stonebr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,Compshg,Vinylsd,Vinylsd,Stone,350.0,Gd,Ta,Pconc,Ex,Ta,Av,Glq,1445.0,Unf,0.0,411.0,1856.0,Gasa,Ex,Yes,Sbrkr,1856,0,0,1856,1.0,0.0,1,1,1,1,Ex,8,Typ,1,Ex,Attchd,2010.0,Fin,3.0,834.0,Ta,Ta,Yes,113,0,0,0,0,0,Nan,Nan,Nan,0,6,2010,New,Partial,394432
19,527276150,20,Rl,140.0,19138,Pave,Nan,Reg,Lvl,Allpub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,Compshg,Vinylsd,Vinylsd,Nan,0.0,Ta,Ta,Cblock,Ta,Ta,No,Lwq,120.0,Unf,0.0,744.0,864.0,Gasa,Ex,Yes,Sbrkr,864,0,0,864,0.0,0.0,1,0,2,1,Ta,4,Typ,0,Nan,Detchd,1951.0,Unf,2.0,400.0,Ta,Ta,Yes,0,0,0,0,0,0,Nan,Nan,Nan,0,6,2010,Wd,Normal,141000
20,527302110,20,Rl,85.0,13175,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Nwames,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,Compshg,Plywood,Plywood,Stone,119.0,Ta,Ta,Cblock,Gd,Ta,No,Alq,790.0,Rec,163.0,589.0,1542.0,Gasa,Ta,Yes,Sbrkr,2073,0,0,2073,1.0,0.0,2,0,3,1,Ta,7,Min1,2,Ta,Attchd,1978.0,Unf,2.0,500.0,Ta,Ta,Yes,349,0,0,0,0,0,Nan,Mnprv,Nan,0,2,2010,Wd,Normal,210000
21,527358140,20,Rl,105.0,11751,Pave,Nan,Ir1,Lvl,Allpub,Inside,Gtl,Nwames,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,Compshg,Plywood,Plywood,Brkface,480.0,Ta,Ta,Cblock,Gd,Ta,No,Blq,705.0,Unf,0.0,1139.0,1844.0,Gasa,Ex,Yes,Sbrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,Ta,7,Typ,1,Ta,Attchd,1977.0,Rfn,2.0,546.0,Ta,Ta,Yes,0,122,0,0,0,0,Nan,Mnprv,Nan,0,1,2010,Cod,Normal,190000
22,527358200,85,Rl,85.0,10625,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Nwames,Norm,Norm,1Fam,Sfoyer,7,6,1974,1974,Gable,Compshg,Plywood,Plywood,Brkface,81.0,Ta,Ta,Cblock,Gd,Ta,Gd,Glq,885.0,Lwq,168.0,0.0,1053.0,Gasa,Ta,Yes,Sbrkr,1173,0,0,1173,1.0,0.0,2,0,3,1,Gd,6,Typ,2,Ta,Attchd,1974.0,Rfn,2.0,528.0,Ta,Ta,Yes,0,120,0,0,0,0,Nan,Mnprv,Nan,0,1,2010,Wd,Family,170000
23,527368020,60,Fv,,7500,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,Compshg,Vinylsd,Vinylsd,Nan,0.0,Gd,Ta,Pconc,Gd,Ta,No,Glq,533.0,Unf,0.0,281.0,814.0,Gasa,Ex,Yes,Sbrkr,814,860,0,1674,1.0,0.0,2,1,3,1,Gd,7,Typ,0,Nan,Attchd,2000.0,Rfn,2.0,663.0,Ta,Ta,Yes,0,96,0,0,0,0,Nan,Nan,Nan,0,1,2010,Wd,Normal,216000
24,527402200,20,Rl,,11241,Pave,Nan,Ir1,Lvl,Allpub,Culdsac,Gtl,Names,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,Compshg,Wd Sdng,Wd Sdng,Brkface,180.0,Ta,Ta,Cblock,Ta,Ta,No,Alq,578.0,Unf,0.0,426.0,1004.0,Gasa,Ex,Yes,Sbrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,Ta,5,Typ,1,Ta,Attchd,1970.0,Fin,2.0,480.0,Ta,Ta,Yes,0,0,0,0,0,0,Nan,Nan,Shed,700,3,2010,Wd,Normal,149000
25,527402250,20,Rl,,12537,Pave,Nan,Ir1,Lvl,Allpub,Culdsac,Gtl,Names,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,Compshg,Vinylsd,Vinylsd,Nan,0.0,Ta,Ta,Cblock,Ta,Ta,No,Glq,734.0,Unf,0.0,344.0,1078.0,Gasa,Ex,Yes,Sbrkr,1078,0,0,1078,1.0,0.0,1,1,3,1,Ta,6,Typ,1,Fa,Attchd,1971.0,Fin,2.0,500.0,Ta,Ta,Yes,0,0,0,0,0,0,Nan,Nan,Nan,0,4,2010,Wd,Normal,149900
26,527403020,20,Rl,65.0,8450,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,Compshg,Vinylsd,Vinylsd,Nan,0.0,Ta,Ta,Cblock,Ta,Ta,No,Blq,775.0,Unf,0.0,281.0,1056.0,Gasa,Ex,Yes,Sbrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,Ta,6,Typ,1,Fa,Attchd,1968.0,Unf,1.0,304.0,Ta,Ta,Yes,0,85,184,0,0,0,Nan,Nan,Nan,0,7,2010,Wd,Normal,142000
27,527404120,20,Rl,70.0,8400,Pave,Nan,Reg,Lvl,Allpub,Corner,Gtl,Names,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,Compshg,Plywood,Plywood,Nan,0.0,Ta,Ta,Cblock,Ta,Ta,No,Alq,804.0,Rec,78.0,0.0,882.0,Gasa,Ta,Yes,Sbrkr,882,0,0,882,1.0,0.0,1,0,2,1,Ta,4,Typ,0,Nan,Attchd,1970.0,Fin,2.0,525.0,Ta,Ta,Yes,240,0,0,0,0,0,Nan,Mnprv,Nan,0,4,2010,Wd,Normal,126000
28,527425090,20,Rl,70.0,10500,Pave,Nan,Reg,Lvl,Allpub,Fr2,Gtl,Names,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,Compshg,Hdboard,Hdboard,Nan,0.0,Ta,Ta,Cblock,Ta,Ta,No,Alq,432.0,Unf,0.0,432.0,864.0,Gasa,Ta,Yes,Sbrkr,864,0,0,864,0.0,0.0,1,0,3,1,Ta,5,Typ,1,Po,Nan,,Nan,0.0,0.0,Nan,Nan,Yes,0,0,0,0,0,0,Nan,Nan,Nan,0,4,2010,Conli,Normal,115000
29,527427230,120,Rh,26.0,5858,Pave,Nan,Ir1,Lvl,Allpub,Fr2,Gtl,Names,Norm,Norm,Twnhse,1Story,7,5,1999,1999,Gable,Compshg,Metalsd,Metalsd,Nan,0.0,Gd,Ta,Pconc,Gd,Ta,No,Glq,1051.0,Blq,0.0,354.0,1405.0,Gasa,Ex,Yes,Sbrkr,1337,0,0,1337,1.0,0.0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,1999.0,Fin,2.0,511.0,Ta,Ta,Yes,203,68,0,0,0,0,Nan,Nan,Nan,0,6,2010,Wd,Normal,184000
30,527451180,160,Rm,21.0,1680,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Brdale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,Compshg,Hdboard,Hdboard,Brkface,504.0,Ta,Ta,Cblock,Ta,Ta,No,Rec,156.0,Unf,0.0,327.0,483.0,Gasa,Ta,Yes,Sbrkr,483,504,0,987,0.0,0.0,1,1,2,1,Ta,5,Typ,0,Nan,Detchd,1971.0,Unf,1.0,264.0,Ta,Ta,Yes,275,0,0,0,0,0,Nan,Nan,Nan,0,2,2010,Cod,Normal,96000
31,527451330,160,Rm,21.0,1680,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Brdale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,Compshg,Hdboard,Hdboard,Brkface,492.0,Ta,Ta,Cblock,Ta,Ta,No,Rec,300.0,Unf,0.0,225.0,525.0,Gasa,Ta,Yes,Sbrkr,525,567,0,1092,0.0,0.0,1,1,3,1,Ta,6,Typ,0,Nan,Detchd,1997.0,Unf,1.0,320.0,Ta,Ta,Yes,0,0,0,0,0,0,Nan,Nan,Nan,0,3,2010,Wd,Normal,105500
32,527451410,160,Rm,21.0,1680,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Brdale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,Compshg,Hdboard,Imstucc,Brkface,381.0,Ta,Ta,Cblock,Ta,Ta,No,Unf,0.0,Unf,0.0,525.0,525.0,Gasa,Ta,Yes,Sbrkr,525,567,0,1092,0.0,0.0,1,1,3,1,Ta,6,Typ,0,Nan,Detchd,1971.0,Unf,1.0,264.0,Ta,Ta,Yes,0,0,0,0,0,0,Nan,Nan,Nan,0,3,2010,Wd,Family,88000
33,527452190,120,Rl,53.0,4043,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Npkvill,Norm,Norm,Twnhse,1Story,6,5,1977,1977,Gable,Compshg,Plywood,Plywood,Nan,0.0,Ta,Ta,Cblock,Gd,Ta,No,Alq,360.0,Unf,0.0,709.0,1069.0,Gasa,Ta,Yes,Sbrkr,1069,0,0,1069,0.0,0.0,2,0,2,1,Ta,4,Typ,1,Fa,Attchd,1977.0,Rfn,2.0,440.0,Ta,Ta,Yes,0,55,0,0,165,0,Nan,Nan,Nan,0,7,2010,Wd,Normal,127500
34,527453130,160,Rl,24.0,2280,Pave,Nan,Reg,Lvl,Allpub,Fr2,Gtl,Npkvill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,Compshg,Plywood,Brk Cmn,Nan,0.0,Ta,Ta,Cblock,Ta,Ta,No,Alq,514.0,Unf,0.0,341.0,855.0,Gasa,Ta,Yes,Sbrkr,855,601,0,1456,0.0,0.0,2,1,3,1,Gd,6,Typ,1,Ta,Attchd,1975.0,Unf,2.0,440.0,Ta,Ta,Yes,173,0,0,0,0,0,Nan,Nan,Nan,0,6,2010,Wd,Normal,149900
35,527453150,120,Rl,24.0,2280,Pave,Nan,Reg,Lvl,Allpub,Fr2,Gtl,Npkvill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,Compshg,Plywood,Brk Cmn,Nan,0.0,Ta,Ta,Cblock,Gd,Ta,No,Unf,0.0,Unf,0.0,836.0,836.0,Gasa,Ex,Yes,Sbrkr,836,0,0,836,0.0,0.0,1,0,2,1,Ta,4,Typ,0,Nan,Attchd,1975.0,Unf,1.0,308.0,Ta,Ta,Yes,0,30,0,0,0,0,Nan,Nan,Nan,0,6,2010,Wd,Normal,120000
36,527454200,160,Rl,24.0,2280,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Npkvill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,Compshg,Plywood,Brk Cmn,Nan,0.0,Ta,Ta,Cblock,Gd,Ta,No,Alq,311.0,Unf,0.0,544.0,855.0,Gasa,Fa,Yes,Sbrkr,855,601,0,1456,0.0,0.0,2,1,3,1,Ta,7,Typ,1,Ta,Attchd,1978.0,Unf,2.0,440.0,Ta,Ta,Yes,26,0,0,0,0,0,Nan,Nan,Nan,0,7,2010,Wd,Normal,146000
37,528108120,60,Rl,102.0,12858,Pave,Nan,Ir1,Lvl,Allpub,Inside,Gtl,Nridght,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,Compshg,Vinylsd,Vinylsd,Stone,162.0,Ex,Ta,Pconc,Ex,Ta,No,Unf,0.0,Unf,0.0,1590.0,1590.0,Gasa,Ex,Yes,Sbrkr,1627,707,0,2334,0.0,0.0,2,1,3,1,Ex,10,Typ,1,Gd,Attchd,2009.0,Fin,3.0,751.0,Ta,Ta,Yes,144,133,0,0,0,0,Nan,Nan,Nan,0,1,2010,New,Partial,376162
38,528112020,20,Rl,98.0,11478,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Nridght,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,Compshg,Vinylsd,Vinylsd,Stone,200.0,Gd,Ta,Pconc,Ex,Ta,No,Glq,1218.0,Unf,0.0,486.0,1704.0,Gasa,Ex,Yes,Sbrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,Rfn,3.0,772.0,Ta,Ta,Yes,0,50,0,0,0,0,Nan,Nan,Nan,0,5,2010,Wd,Normal,306000
39,528120060,20,Rl,83.0,10159,Pave,Nan,Ir1,Lvl,Allpub,Inside,Gtl,Nridght,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,Compshg,Vinylsd,Vinylsd,Stone,450.0,Ex,Ta,Pconc,Ex,Ta,Av,Glq,1646.0,Unf,0.0,284.0,1930.0,Gasa,Ex,Yes,Sbrkr,1940,0,0,1940,1.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2010.0,Fin,3.0,606.0,Ta,Ta,Yes,168,95,0,0,0,0,Nan,Nan,Nan,0,4,2010,New,Partial,395192
40,528120090,20,Rl,94.0,12883,Pave,Nan,Ir1,Lvl,Allpub,Corner,Gtl,Nridght,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,Compshg,Vinylsd,Vinylsd,Stone,256.0,Gd,Ta,Pconc,Gd,Ta,No,Unf,0.0,Unf,0.0,1544.0,1544.0,Gasa,Ex,Yes,Sbrkr,1544,0,0,1544,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Nan,Attchd,2009.0,Rfn,3.0,868.0,Ta,Ta,Yes,0,35,0,0,0,0,Nan,Nan,Nan,0,6,2010,New,Partial,290941
41,528120100,20,Rl,95.0,12182,Pave,Nan,Reg,Lvl,Allpub,Corner,Gtl,Nridght,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,Compshg,Vinylsd,Vinylsd,Brkface,226.0,Gd,Ta,Pconc,Gd,Ta,Mn,Blq,1201.0,Unf,0.0,340.0,1541.0,Gasa,Ex,Yes,Sbrkr,1541,0,0,1541,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2005.0,Rfn,2.0,532.0,Ta,Ta,Yes,0,70,0,0,0,0,Nan,Nan,Nan,0,5,2010,New,Partial,220000
42,528120120,20,Rl,90.0,11520,Pave,Nan,Reg,Lvl,Allpub,Inside,Gtl,Nridght,Posn,Norm,1Fam,1Story,9,5,2005,2005,Hip,Compshg,Vinylsd,Vinylsd,Brkface,615.0,Gd,Ta,Pconc,Ex,Ta,No,Glq,110.0,Unf,0.0,1588.0,1698.0,Gasa,Ex,Yes,Sbrkr,1698,0,0,1698,0.0,0.0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,2005.0,Fin,3.0,730.0,Ta,Ta,Yes,192,74,0,0,0,0,Nan,Nan,Nan,0,6,2010,Wd,Normal,275000
